q,u,u_shear,tau_bx,theta,hyp,batch_name
             9.0415138746,             2.4541148337,             0.2007732807,            40.2005091483,             0.0551189148,             0.0000000000,B4.0 
             8.1747161706,             2.3600635815,             0.1955470295,            39.3988118310,             0.0551221507,             2.0000000000,B4.0 
             7.3936901490,             2.2700775773,             0.1905154514,            38.5971148896,             0.0551255219,             4.0000000000,B4.0 
             6.6877127696,             2.1836648385,             0.1856659711,            37.7966230443,             0.0551307944,             6.0000000000,B4.0 
             6.0509445010,             2.1007880107,             0.1809805515,            36.9957000471,             0.0551356536,             8.0000000000,B4.0 
             5.4765734525,             2.0211926351,             0.1764462920,            36.1942412730,             0.0551399125,            10.0000000000,B4.0 
             4.9597468862,             1.9447856220,             0.1720517562,            35.3922659569,             0.0551435601,            12.0000000000,B4.0 
             4.4965983501,             1.8715433501,             0.1677861736,            34.5896498913,             0.0551463559,            14.0000000000,B4.0 
             4.0842502639,             1.8015478789,             0.1636413735,            33.7869743250,             0.0551491877,            16.0000000000,B4.0 
             3.7208164929,             1.7350460557,             0.1596162556,            32.9874224007,             0.0551573806,            18.0000000000,B4.0 
             3.4024673891,             1.6719375964,             0.1556874624,            32.1846924904,             0.0551605365,            20.0000000000,B4.0 
             3.1273254383,             1.6125255872,             0.1518580917,            31.3831614337,             0.0551659616,            22.0000000000,B4.0 
             2.8915890249,             1.5567985735,             0.1481178430,            30.5814459553,             0.0551713395,            24.0000000000,B4.0 
             2.6913819940,             1.5047596946,             0.1444526841,            29.7764322609,             0.0551708970,            26.0000000000,B4.0 
             2.5218068682,             1.4561425583,             0.1408754740,            28.9759241226,             0.0551790100,            28.0000000000,B4.0 
             2.3770895523,             1.4103202034,             0.1373587637,            28.1709634566,             0.0551788652,            30.0000000000,B4.0 
             2.2553658689,             1.3677703603,             0.1339146825,            27.3687452755,             0.0551842417,            32.0000000000,B4.0 
             2.1511087618,             1.3274013425,             0.1305359022,            26.5683275370,             0.0551936844,            34.0000000000,B4.0 
             2.0608415713,             1.2891773390,             0.1272116094,            25.7672640595,             0.0552023338,            36.0000000000,B4.0 
             1.9999998946,             1.2613889555,             0.1246955068,            25.2720093044,             0.0558878224,            38.0000000000,B4.0 
             1.9999998946,             1.2613889555,             0.1246955068,            25.7859692933,             0.0589252339,            40.0000000000,B4.0 
             1.9999998946,             1.2613889555,             0.1246955068,            26.2999292821,             0.0621721222,            42.0000000000,B4.0 
             1.9999998946,             1.2613889555,             0.1246955068,            26.8138892710,             0.0656509310,            44.0000000000,B4.0 
             1.9999998946,             1.2613889555,             0.1246955068,            27.3278492599,             0.0693874294,            46.0000000000,B4.0 
            39.9999999780,             3.9908395172,             0.3135149335,            98.0248500700,             0.0604808387,             0.0000000000,B2_0 
            39.9999999780,             3.9908395172,             0.3135149335,            98.0248500700,             0.0604808387,             0.0000000000,B2_0 
             4.2006632059,             2.1370166925,             0.2006150311,            40.1371619797,             0.0550320595,             0.0000000000,B2_0 
             4.2774203320,             2.1443792312,             0.2006157788,            40.1374611755,             0.0550324697,             0.0000000000,K0_40
